title;description;transport;price;room
Location meublée studio 20 m² Paris 20E;Paris 20e (75020). Dans rue calme, studio meublé, rez-de-chaussée très calme, tout meublé : canapé-lit / armoire / commode / table basse / cuisine entièrement équipée (lave-linge/ micro-ondes four / plaque / hotte / frigidaire /...;Maraîchers, Porte de Montreuil, Marie de Miribel;880 €;Pièce 1 Surface 20 m 2
Location meublée appartement 3 pièces 74 m² Paris;Paris 1er (75001). Meublé bail du code civil exclusivement. Triangle Vendôme - Opéra - Louvre. T3 de 74 m², 2 digicodes, ascenseur, 3ème étage, porte sécurisée. Un séjour, 2 chambres spacieuses, petite cuisine équipée, grande...;Tuileries, Pyramides, Quatre-Septembre;2.370 €;Pièces 3 Chambres 2 Surface 74 m 2
Location bureaux et locaux professionnels 40 m² Paris 9E;Paris 9e (75009). Bureaux lumineux et calme dans immeuble avec gardien. Hall d'accueil partagé avec Agences RP et Digital. Espace privatif et fermé comprenant : - 1 bureau salle de réunion pouvant accueillir 5 personnes - 1 bureau...;Havre - Caumartin, Auber, Madeleine;1.600 €;Surface 40 m 2
Location meublée chambre 20 m² Paris 11E;Paris 11e (75011). Joli studio avec vue sur grand jardin, ensoleillé, dans un immeuble de 5 étages, au deuxième étage avec ascenseur, voisinage agréable, quartier paisible. Pièces bien distribuées par un couloir : entrée, salle de...;;850 €;Pièce 1 Surface 20 m 2
Location studio 17 m² Paris 20E;Paris 20e (75020). Rue Sorbier, Immeuble ancien, au 3ème étage, studio bien agencé refait entièrement à neuf comprenant : entrée, cuisinette, salle d'eau avec wc, coin nuit, sans vis-à-vis. Agence s'abstenir. Dossier demandé.;Ménilmontant, Père Lachaise, Gambetta;750 €;Pièce 1 Surface 17 m 2
Location meublée studio 19 m² Paris 5E;Paris 5e (75005). A 500 m Sorbonne, secteurs lycées Henri IV, St-Louis, Louis-Le-Grand, Jardin du Luxembourg situé à 150 m du RER B Station St MICHEL et Cluny-Sorbonne. Studio meublé, calme. Au 2ème étage, lumineux, orienté ouest, deux...;Saint-Michel - Notre-Dame, Saint-Michel, Cluny - La Sorbonne;1.200 €;Pièce 1 Surface 19 m 2
Location ou cession local commercial 130 m² Paris 8E;Paris 8e (75008). Emplacement haut-de-gamme, rue du Faubourg Saint Honoré, proche avenue de Friedland / boulevard Haussmann. Très belle boutique refaite à neuf, sols, peintures et électricité, surface de plain pied avec de beaux...;;4.500 €;Surface 130 m 2
Location meublée chambre 9 m² Paris 15E;Paris 15e (75015). Chambre de 9m2 - 6ème étage par escalier de service, meublé, calme, lit une place, une table, deux chaises, bloc cuisinette entièrement équipé, douche, wc. Loyer : 440 €/mois + charges...;Falguière, Duroc, Pasteur;480 €;Pièce 1 Chambre 1 Surface 9 m 2
Location meublée studio 28 m² Paris 16E;Paris 16e (75016). Studio meublé entièrement refait à neuf par un architecte, avec des prestations de grande qualité, de 28.26 m² avec balcon de 8.34 m², situé rue Saint Didier, quartier Trocadéro, dans un immeuble parisien de...;;1.350 €;Pièce 1 Surface 28 m 2
Location studio 22 m² Paris 18E;Paris 18e (75018). Rue des Poissonniers, à proximité du métro Marcadet Poissonniers (lignes 4 et 12), charmant studio clair et lumineux de 22 m² situé au 3e étage sans ascenseur avec vue dégagée sur rue. Double vitrage. Composé...;Marcadet - Poissonniers, Simplon, Jules Joffrin;790 €;Pièce 1 Surface 22 m 2
Location meublée appartement 2 pièces 36 m² Paris 19E;Paris 19e (75019). A louer à côté du Parc des Buttes Chaumont, au 2ème étage avec ascenseur, un appartement de 2 pièces récemment refait, entièrement meublé et équipé avec : - salon comportant un clic-clac, tv écran plat, table basse...;Bolivar, Colonel Fabien, Buttes Chaumont;1.250 €;Pièces 2 Chambre 1 Surface 36 m 2
Location bureaux et locaux professionnels 35 m² Paris 2E;Paris 2e (75002). Bureau 35 m², toilette et cuisine. Loyer : 1580 € charges comprises.;Bonne Nouvelle, Sentier, Réaumur - Sébastopol;1.580 €;Surface 35 m 2
Location meublée appartement 2 pièces 38 m² Paris 15E;Paris 15e (75015). 2 pièces meublé refait à neuf 38 m², décoration très soignée. 3eme etage sans ascenseur . Literies neuves, équipées. Toutes commodités/internet, télévision. Cuisine équipée, espace salon, une grande chambre,...;;1.500 €;Pièces 2 Chambre 1 Surface 38 m 2
Location garage, parking Paris 17E;Paris 17e (75017). Parking privatif dans immeuble hausmanniern : box non fermé. 15 avenue de Villiers Accès par badge. Loyer charges comprises;Villiers, Malesherbes, Monceau;180 €;
Location meublée chambre 31 m² Paris 19E;Paris 19e (75019). F1 situé dans une résidence arboré et calme avec vigiles et gardien. Proche de tous commerce métro, bus, et tram. Cet appartement est à 5mn à pied du canal et à 8mn du parc de La Villette. Composé d'une entrée avec...;Corentin Cariou, Crimée, Canal Saint-Denis;1.080 €;Pièce 1 Surface 31 m 2
Location bureaux et locaux professionnels 40 m² Paris 10E;Paris 10e (75010). Métro Louis Blanc, rue Lafayette, proche Gare du Nord et Gare de l'Est. Bureau de 40 m² environ entièrement refait à neuf tout confort, chauffage central, sanitaire. Libre de suite. Prix...;;1.400 €;Surface 40 m 2
Location meublée appartement 3 pièces 51 m² Paris 14E;"Paris 14e (75014). Domicile exceptionnel. **Disponible 1er janvier - 30 juin 2018. (Il n'est pas possible de prolonger ou réduire la période de location; c'est le domicile du propriétaire 6 mois chaque année -- soin attentif de...";Mouton-Duvernet, Denfert-Rochereau (Colonel Rol-Tanguy), Alésia;1.600 €;Pièces 3 Chambres 2 Surface 51 m 2
Location meublée studio 38 m² Paris 16E;Paris 16e (75016). Boulevard Suchet. Très beau studio meublé 38 m² refait neuf. Cuisine entièrement équipée avec lave-linge. Grande salle de bains. Double vitrage. Parquet. Excellent état. Au 3e étage avec ascenseur. Très...;Ranelagh, Jasmin, La Muette;1.390 €;Pièce 1 Surface 38 m 2
Location bureaux et locaux professionnels 18 m² Paris 20E;Paris 20e (75020). Métros Philippe Auguste/Alexandre Dumas. 1er étage, ascenseur. Immeuble de standing au calme. Société loue bureaux indépendants avec salle de réunion/toilettes à partager. (eau/électricité/chauffage/charges...;;850 €;Surface 18 m 2
Location studio 23 m² Paris;Paris 11e (75011). Rue Amelot, limite Marais, entre Cirque d'Hiver et Bastille. Studio environ 23 m², clair, refait à neuf : petite entrée indépendante, grand placard/penderie, salle de bains + wc et lavabo, cuisine équipée,...;;900 €;Pièce 1 Surface 23 m 2
Location ou cession local commercial 121 m² Paris 3E;Paris 3e (75003). Boutique à céder, prix cession de bail : 135.000 euros. Loyer: 2200 euros. Surface de 121 m² sur 3 niveaux: Sous-sol (35 m²), rez-de-chaussée (50 m²), 1er étage (35 m²). Belle vitrine (5 m...;Temple, Arts et Métiers, République;2.200 €;Surface 121 m 2
Location meublée appartement 3 pièces 84 m² Paris 14E;Paris 14e (75014). Exceptionnel et Rare: 84m2 au coeur de Montparnasse. Appartement meublé à louer avec bail d'un an minimum. 5° étage avec ascenseur. Comportant une pièce à vivre de 30 m² , une chambre avec un lit double. une...;Montparnasse - Bienvenüe, Edgar Quinet, Vavin;2.450 €;Pièces 3 Chambres 2 Surface 84 m 2
Location meublée appartement 2 pièces 34 m² Paris 20E;Paris 20e (75020). T2 de 34 m² au 5eme et dernier étage sans ascenseur. semi meublé, parquet et cheminée, bien agencé, calme (vue sur Père Lachaise) et vue dégagée, dans un quartier vivant. Entrée, cuisine séparée et aménagée...;Alexandre Dumas, Philippe Auguste, Avron;975 €;Pièces 2 Chambre 1 Surface 34 m 2
Location appartement 2 pièces Paris 15E;Paris 15e (75015). Métro Emile Zola (à 50 m). 2 pièces récent, au 2ème étage, standing : entrée, séjour, chambre, salle de bains (baignoire), wc séparés, cuisine avec éléments, placard, parquet. Terrasse carrelée, calme, plein...;;1.475 €;Pièces 2 Chambre 1
Location bureaux et locaux professionnels 8 m² Paris 3E;Paris 3e (75003). Rue Beaubourg, dans immeuble de prestige 1930. Proximité centre Georges Pompidou. Métro Rambuteau - RER Châtelet les Halles. Proche parkings publics. Local de 8 m² et un local 33 m², entièrement...;;;Surface 8 m 2
