title;address;averageprice;rating
Qui Plume la Lune - Jacky Ribault;50, rue Amelot 75011 Paris;Prix moyen 80 €;9,6
Lasserre;17, avenue Franklin Roosevelt 75008 Paris;Prix moyen 150 €;9,5
Le Palais de Shah Jahan;16 Rue des 4 Frères Peignot 75015 Paris;Prix moyen 22 €;9,2
Don Lucas;42, rue Monge 75005 Paris;Prix moyen 35 €;9
Aux Crus de Bourgogne;3 Rue Bachaumont 75002 Paris;Prix moyen 55 €;9
Les Orientalistes;4 Rue Saint-Laurent 75010 Paris;Prix moyen 21 €;9
Les Comptoirs du Médoc;93 Rue de la Victoire 75009 Paris;Prix moyen 39 €;9,4
Lyna Ristorante;34 Boulevard Pereire 75017 Paris;Prix moyen 28 €;9
Derrière les Fagots;85 Boulevard Richard Lenoir 75011 Paris;Prix moyen 18 €;9
La Table des Insolents;6 Rue de Cronstadt 75015 Paris;Prix moyen 30 €;9,1
Opium, La Cabane;44, rue Dauphine 75006 Paris;Prix moyen 35 €;9
La Cerise sur la Pizza - Bonne Nouvelle;8, rue du Faubourg Poissonnière 75010 Paris;Prix moyen 24 €;8,9
Bodega Potxolo;7 Rue de la Forge Royale 75011 Paris;Prix moyen 27 €;9,4
Auberge St-Antoine;243 Rue du Faubourg Saint-Antoine 75011 Paris;Prix moyen 35 €;9
Kyoto;20 Boulevard Exelmans 75016 Paris;Prix moyen 18 €;9
La Maison du Wok;14 Rue d'Alexandrie 75002 Paris;Prix moyen 17 €;9,2
Il Castello 17ème;41, rue Legendre 75017 Paris;Prix moyen 30 €;8,7
Trésor de Kashmir;6 Passage Brady 75010 Paris;Prix moyen 20 €;8,8
Jiliya;7, avenue Philippe-Auguste 75011 Paris;Prix moyen 15 €;8,8
À la Frégate;30, avenue Ledru-Rollin 75012 Paris;Prix moyen 55 €;8,7
Restaurant New Dehli;4, passage Brady 75010 Paris;Prix moyen 20 €;8,7
La Contre-Allée;83, avenue Denfert Rochereau 75014 Paris;Prix moyen 42 €;9,2
Punjab Palace;299 Rue Lecourbe 75015 Paris;Prix moyen 15 €;8,7
Restaurant Auguste - Gaël Orieux;54, rue de Bourgogne 75007 Paris;Prix moyen 75 €;9,4
Monsieur Restaurant;Hotel Lancaster - 7 rue de Berri 75008 Paris;Prix moyen 49 €;8,9
Restaurant Bon;25 Rue de la Pompe, 75116 Paris, France 75116 Paris;Prix moyen 44 €;9
Le Reminet;3, rue des Grands Degrés 75005 Paris;Prix moyen 49 €;8,8
Casa Dagusto;6 Rue de Plaisance 75014 Paris;Prix moyen 25 €;9,1
restaurant - Le122;122 Rue de Grenelle 75007 Paris;Prix moyen 44 €;9,1
Les Tablettes - Jean-Louis Nomicos;16, avenue Bugeaud 75016 Paris;Prix moyen 115 €;9,2
Bustronome;2, avenue Kleber 75016 Paris;Prix moyen 100 €;9,1
Mori Venice Bar;27, rue Vivienne 75002 Paris;Prix moyen 84 €;9,2
T'Cup;16 Rue des Minimes 75003 Paris;Prix moyen 20 €;9,1
L'Illusion;31 Rue la Bruyère 75009 Paris;Prix moyen 25 €;9,1
Jeremie;33 Rue de Longchamp 75116 Paris;Prix moyen 70 €;9,1
Chacha & Compagnie Gambetta;1 bis Rue des Rondonneaux 75020 Paris;Prix moyen 65 €;8,8
Lapérouse;51 Quai des Grands Augustins 75006 Paris;Prix moyen 108 €;9,2
Louis Vins;9 Rue de la Montagne Sainte-Geneviève 75005 Paris;Prix moyen 40 €;9,1
